"Data Source","World Development Indicators",

"Last Updated Date","2020-12-16",

"Country Name","Country Code","Indicator Name","Indicator Code","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Channel Islands","CHI","GDP (current US$)","NY.GDP.MKTP.CD","6439703434.71024","6232906290.4851","6663669064.7482","7332244897.95918","8553643354.08275","8827272727.27273","9676172953.08188","11514605842.3369","","","","","","","","","","","","","",
"Chile","CHL","GDP (current US$)","NY.GDP.MKTP.CD","77860932151.8471","70979923960.3742","69736811435.1032","75643459839.6008","99210392857.6116","122964812046.073","154788024805.808","173605968179.255","179638496278.574","172389498444.62","218537551220.071","252251992029.442","267122320056.702","278384345259.377","260541629960.664","243919085308.936","250440136356.127","277044950259.009","298258019275.049","282318159744.65","",
"China","CHN","GDP (current US$)","NY.GDP.MKTP.CD","1211346869605.24","1339395718865.3","1470550015081.55","1660287965662.68","1955347004963.27","2285965892360.54","2752131773355.16","3550342737010.84","4594307032660.79","5101703073086.04","6087163874512.21","7551500124203.36","8532229986993.65","9570406235659.64","10475682920594.5","11061553079876.4","11233276536737.2","12310409370892.8","13894817549374.2","14342903006431.3","",
"Cote d'Ivoire","CIV","GDP (current US$)","NY.GDP.MKTP.CD","10717022462.6859","11202353584.6713","12405208665.4831","15340993079.1206","16584164236.2204","17091723906.153","17816714954.2442","20370544322.3074","24322959641.2556","24375209177.9302","24908781285.4756","25414875503.0784","26789047554.5988","31273074527.6975","35363533865.7271","45814637971.4745","47964234560.0514","51588158717.5348","58011466450.8643","58539424929.7248","",
"Cameroon","CMR","GDP (current US$)","NY.GDP.MKTP.CD","10083937740.0624","10371327756.4548","11579343088.1613","14548845764.5325","17430933517.2998","17944084201.4901","19356046327.8995","22365265025.66","26409781215.1844","26017925551.8426","26169323292.5278","29375448542.4466","29102772799.0038","32357345500.9885","34989493826.2179","30928653813.8538","32643697595.8378","35009262788.15","38694156862.9922","39007354359.2798","",
"Congo, Dem. Rep.","COD","GDP (current US$)","NY.GDP.MKTP.CD","19088046305.7971","7438189100.33333","8728038525.14034","8937567059.87754","10297483481.223","11964484667.9102","14451902467.9315","16737071816.38","19788515873.8942","18648373312.4241","21565720044.4634","25839749198.8233","29306235826.3885","32679745297.6453","35909040265.9328","37917704900.0794","37134799974.5225","38019265625.8845","46831342212.5473","50400746171.4239","",
"Congo, Rep.","COG","GDP (current US$)","NY.GDP.MKTP.CD","3219910550.39332","2796704577.3082","3034251042.07329","3503723244.83607","4656975222.72243","6650001213.82609","8072305415.35484","8782703766.99342","11649858744.3946","9723300390.77733","13148395201.8041","15655384440.3994","17692912613.1633","17958721571.7526","17783526317.8894","11953249529.737","10335424288.4306","11198674674.3816","13518403446.9566","12267392146.5888","",
"Colombia","COL","GDP (current US$)","NY.GDP.MKTP.CD","99886577330.7271","98211749595.5442","97963003804.7851","94641378693.223","117081522349.677","145619191582.061","161618581266.316","206181826825.28","242186950900.775","232397835678.336","286563105192.456","334943871931.745","370921320483.841","382116126448.555","381112119657.445","293481748240.779","282825009887.458","311883730690.129","333568923004.469","323615979418.651","",
"Comoros","COM","GDP (current US$)","NY.GDP.MKTP.CD","350264287.687331","378512003.405071","425964697.418664","546885184.990174","633706149.25026","653845122.872074","698431827.740958","795673128.485442","915659192.825112","905341090.570115","907978723.547592","1023086183.79822","1015843368.79008","1116224161.07781","1149587651.69395","966029542.038859","1012835518.26037","1077439662.5798","1178530757.72328","1165839927.06327","",
"Cabo Verde","CPV","GDP (current US$)","NY.GDP.MKTP.CD","539227277.626411","563024383.296626","620974660.230303","813963830.179217","924318490.7598","971977088.156914","1107891063.43863","1513933983.22398","1789333748.6799","1711817181.52969","1664310769.55229","1865915544.12445","1741809808.96442","1850470042.43281","1859898513.26858","1596800287.16405","1662998678.36743","1769787215.14611","1966983316.56524","1981845740.35828","",
"Costa Rica","CRI","GDP (current US$)","NY.GDP.MKTP.CD","14949514493.332","15913363440.5692","16504795592.7964","17196009811.1172","18528955524.6272","19948261084.3726","22602721765.2812","26743972564.1217","30612927059.0967","30562361123.0307","37268614024.3178","42262697840.385","46473128285.5589","49745088111.6953","50577769837.7462","54775994478.5095","57157992434.1805","58481858042.5721","60553901420.085","61801385049.0716","",
"Caribbean small states","CSS","GDP (current US$)","NY.GDP.MKTP.CD","34198261849.0945","35249124487.3872","36990581960.3707","39545843698.6954","43259576005.6832","48918431749.2751","55670905492.0505","61875372966.2167","70340127757.6371","59411430650.892","64524470198.2237","69668274255.6167","72051118641.7627","73417589878.4139","74433668499.321","72828471570.5459","69191343076.2298","71452564226.3475","74967267520.1689","77721714917.8506","",
"Cuba","CUB","GDP (current US$)","NY.GDP.MKTP.CD","30565400000","31682400000","33590500000","35901200000","38203000000","42643836100","52742800000","58603900000","60806300000","62080000000","64328000000","68990000000","73141000000","77148000000","80656000000","87133000000","91370000000","96851000000","100023000000","","",
